Dex,Spawn,League / Purpose,Best form & rank,Folded forms,Total
1,Bulbasaur,PvE,"PvE: Mega Venusaur — Grass #2, #2, #2",Bulbasaur #1 · Ivysaur #2 · Venusaur #3,1
4,Charmander,PvE,"PvE: Mega Y Charizard — Fire #1, #1, #1 | PvE: Mega Y Charizard — Flying #7, #2, #2",Charmander #4 · Charmeleon #5 · Charizard #6,2
7,Squirtle,GL PvE UL,"GL: Blastoise #51 | UL: Blastoise #22 | UL: Shadow Blastoise #77 | PvE: Mega Blastoise — Water #4, #2, #2",Squirtle #7 · Wartortle #8 · Blastoise #9,4
10,Caterpie,Collection only,,Caterpie #10 · Metapod #11 · Butterfree #12,
13,Weedle,PvE,"PvE: Mega Beedrill — Poison #3, #2, #2 | PvE: Mega Beedrill — Bug #7, #6, #5",Weedle #13 · Kakuna #14 · Beedrill #15,2
16,Pidgey,PvE,"PvE: Mega Pidgeot — Flying #18, #6, #4",Pidgey #16 · Pidgeotto #17 · Pidgeot #18,1
19,Rattata,LC,LC: Shadow Rattata #39,Rattata #19 · Rattata (Alolan) #19 · Raticate #20 · Raticate (Alolan) #20,1
21,Spearow,GL,GL: Fearow #20,Spearow #21 · Fearow #22,1
23,Ekans,Collection only,,Ekans #23 · Arbok #24,
25,Pikachu,Collection only,,Pikachu #25 · Raichu #26 · Raichu (Alolan) #26 · Pichu #172,
27,Sandshrew,UL,UL: Shadow Sandslash (Alolan) #83 | UL: Sandslash (Alolan) #93,Sandshrew #27 · Sandshrew (Alolan) #27 · Sandslash #28 · Sandslash (Alolan) #28,2
29,Nidoran Female,Collection only,,Nidoran Female #29 · Nidorina #30 · Nidoqueen #31,
32,Nidoran Male,Collection only,,Nidoran Male #32 · Nidorino #33 · Nidoking #34,
35,Clefairy,GL UL,GL: Clefable #52 | UL: Clefable #54,Clefairy #35 · Clefable #36 · Cleffa #173,2
37,Vulpix,GL LC UL,LC: Vulpix (Alolan) #14 | LC: Shadow Vulpix (Alolan) #22 | LC: Shadow Vulpix #38 | LC: Vulpix #49 | GL: Ninetales #12 | GL: Shadow Ninetales #13 | GL: Ninetales (Alolan) #61 | GL: Shadow Ninetales (Alolan) #63 | UL: Ninetales (Alolan) #15 | UL: Shadow Ninetales (Alolan) #18 | UL: Ninetales #38 | UL: Shadow Ninetales #52,Vulpix #37 · Vulpix (Alolan) #37 · Ninetales #38 · Ninetales (Alolan) #38,12
39,Jigglypuff,GL LC,LC: Igglybuff #32 | GL: Wigglytuff #48,Jigglypuff #39 · Wigglytuff #40 · Igglybuff #174,2
