Dex,Spawn (base),League / Purpose,Best form & rank,IV target,Moveset,Keep,Total
7,Squirtle,GL,Blastoise #51 (score 89.3),Rank ≤ #100  (low ATK / high bulk),Rollout / Hydro Cannon / Skull Bash,1,3
,,UL,Blastoise #22 (score 90.6),Rank ≤ #100  (low ATK / high bulk),Rollout / Hydro Cannon / Skull Bash,1,
,,UL,Blastoise (Shadow) #77 (score 88.2),Rank ≤ #100  (low ATK / high bulk),Rollout / Hydro Cannon / Ice Beam,1,
19,Rattata,LC,Rattata (Shadow) #39 (score 77.6),Rank ≤ #100  (low ATK / high bulk),Quick Attack / Body Slam / Dig,1,1
21,Spearow,GL,Fearow #20 (score 90.7),Rank ≤ #100  (low ATK / high bulk),Peck / Drill Peck / Drill Run,1,1
27,Sandshrew,UL,Sandslash (Alolan) #93 (score 87.6),Rank ≤ #100  (low ATK / high bulk),Powder Snow / Ice Punch / Drill Run,1,2
,,UL,Sandslash (Alolan) (Shadow) #83 (score 87.9),Rank ≤ #100  (low ATK / high bulk),Powder Snow / Ice Punch / Drill Run,1,
37,Vulpix,GL,Ninetales #12 (score 91.5),Rank ≤ #100  (low ATK / high bulk),Ember / Weather Ball Fire / Energy Ball,1,12
,,UL,Ninetales #38 (score 89.8),Rank ≤ #100  (low ATK / high bulk),Ember / Weather Ball Fire / Energy Ball,1,
,,GL,Ninetales (Alolan) #61 (score 89),Rank ≤ #100  (low ATK / high bulk),Powder Snow / Weather Ball Ice / Chilling Water,1,
,,UL,Ninetales (Alolan) #15 (score 91.1),Rank ≤ #100  (low ATK / high bulk),Powder Snow / Weather Ball Ice / Chilling Water,1,
,,GL,Ninetales (Alolan) (Shadow) #63 (score 88.8),Rank ≤ #100  (low ATK / high bulk),Powder Snow / Weather Ball Ice / Chilling Water,1,
,,UL,Ninetales (Alolan) (Shadow) #18 (score 90.8),Rank ≤ #100  (low ATK / high bulk),Powder Snow / Weather Ball Ice / Chilling Water,1,
,,GL,Ninetales (Shadow) #13 (score 91.1),Rank ≤ #100  (low ATK / high bulk),Ember / Weather Ball Fire / Energy Ball,1,
,,UL,Ninetales (Shadow) #52 (score 89.1),Rank ≤ #100  (low ATK / high bulk),Ember / Weather Ball Fire / Energy Ball,1,
,,LC,Vulpix #49 (score 76.9),Rank ≤ #100  (low ATK / high bulk),Quick Attack / Weather Ball Fire / Body Slam,1,
,,LC,Vulpix (Alolan) #14 (score 82.8),Rank ≤ #100  (low ATK / high bulk),Powder Snow / Weather Ball Ice / Dark Pulse,1,
