Section,Spawn,League / Purpose (other uses),Best form & rank,IV target,Moveset,Keep,Total
Little Cup — Top 50,Skrelp,—,Skrelp #1 (score 95.9),Rank ≤ #100  (low ATK / high bulk),Acid / Aqua Tail / Sludge Bomb,1,1
Little Cup — Top 50,Ducklett,—,Ducklett #2 (score 93),Rank ≤ #100  (low ATK / high bulk),Wing Attack / Brave Bird / Aerial Ace,1,1
Little Cup — Top 50,Carvanha (Shadow),—,Carvanha (Shadow) #3 (score 89.9),Rank ≤ #100  (low ATK / high bulk),Bite / Aqua Jet / Poison Fang,1,1
Little Cup — Top 50,Fomantis,—,Fomantis #4 (score 89.4),Rank ≤ #100  (low ATK / high bulk),Fury Cutter / Leaf Blade / Trailblaze,1,1
Little Cup — Top 50,Pumpkaboo (Super),—,Pumpkaboo (Super) #5 (score 88.9),Rank ≤ #100  (low ATK / high bulk),Astonish / Grass Knot / Foul Play,1,1
Little Cup — Top 50,Foongus,—,Foongus #6 (score 88.6),Rank ≤ #100  (low ATK / high bulk),Astonish / Body Slam / Grass Knot,1,1
Little Cup — Top 50,Frillish,—,Frillish #7 (score 87.6),Rank ≤ #100  (low ATK / high bulk),Hex / Night Shade / Ice Beam,1,1
Little Cup — Top 50,Dewpider,—,Dewpider #8 (score 87.3),Rank ≤ #100  (low ATK / high bulk),Bug Bite / Mirror Coat / Bubble Beam,1,1
Little Cup — Top 50,Pumpkaboo (Average),—,Pumpkaboo (Average) #9 (score 87.3),Rank ≤ #100  (low ATK / high bulk),Astonish / Grass Knot / Foul Play,1,1
Little Cup — Top 50,Foongus (Shadow),—,Foongus (Shadow) #10 (score 87.2),Rank ≤ #100  (low ATK / high bulk),Astonish / Grass Knot / Body Slam,1,1
Little Cup — Top 50,Pumpkaboo (Large),—,Pumpkaboo (Large) #11 (score 87.2),Rank ≤ #100  (low ATK / high bulk),Astonish / Grass Knot / Foul Play,1,1
Little Cup — Top 50,Pumpkaboo (Small),—,Pumpkaboo (Small) #12 (score 86.5),Rank ≤ #100  (low ATK / high bulk),Astonish / Grass Knot / Foul Play,1,1
Little Cup — Top 50,Ducklett (Shadow),—,Ducklett (Shadow) #13 (score 86.4),Rank ≤ #100  (low ATK / high bulk),Wing Attack / Brave Bird / Aerial Ace,1,1
Little Cup — Top 50,Lileep (Shadow),—,Lileep (Shadow) #14 (score 86.3),Rank ≤ #100  (low ATK / high bulk),Acid / Ancient Power / Grass Knot,1,1
Little Cup — Top 50,Binacle,—,Binacle #15 (score 85.8),Rank ≤ #100  (low ATK / high bulk),Mud Slap / Ancient Power / Cross Chop,1,1
Little Cup — Top 50,Litwick,—,Litwick #16 (score 85.6),Rank ≤ #100  (low ATK / high bulk),Astonish / Mystical Fire / Flame Charge,1,1
Little Cup — Top 50,Carvanha,—,Carvanha #17 (score 84.9),Rank ≤ #100  (low ATK / high bulk),Bite / Aqua Jet / Poison Fang,1,1
Little Cup — Top 50,Lileep,—,Lileep #18 (score 84.8),Rank ≤ #100  (low ATK / high bulk),Acid / Ancient Power / Grass Knot,1,1
Little Cup — Top 50,Litwick (Shadow),—,Litwick (Shadow) #19 (score 84.1),Rank ≤ #100  (low ATK / high bulk),Astonish / Mystical Fire / Flame Charge,1,1
Little Cup — Top 50,Tentacool,—,Tentacool #20 (score 82.8),Rank ≤ #100  (low ATK / high bulk),Poison Sting / Wrap / Water Pulse,1,1
Little Cup — Top 50,Barboach (Shadow),—,Barboach (Shadow) #21 (score 82.4),Rank ≤ #100  (low ATK / high bulk),Mud Shot / Mud Bomb / Aqua Tail,1,1
Little Cup — Top 50,Shellos,—,Shellos #22 (score 81.4),Rank ≤ #100  (low ATK / high bulk),Mud Slap / Body Slam / Mud Bomb,1,1
Little Cup — Top 50,Wooper,—,Wooper #23 (score 81.1),Rank ≤ #100  (low ATK / high bulk),Mud Shot / Mud Bomb / Body Slam,1,1
Little Cup — Top 50,Ferroseed,—,Ferroseed #24 (score 80.9),Rank ≤ #100  (low ATK / high bulk),Tackle / Iron Head / Flash Cannon,1,1
Little Cup — Top 50,Tentacool (Shadow),—,Tentacool (Shadow) #25 (score 80.9),Rank ≤ #100  (low ATK / high bulk),Poison Sting / Wrap / Water Pulse,1,1
Little Cup — Top 50,Budew,—,Budew #26 (score 80.6),Rank ≤ #100  (low ATK / high bulk),Razor Leaf / Grass Knot / Energy Ball,1,1
Little Cup — Top 50,Seel,—,Seel #27 (score 80.5),Rank ≤ #100  (low ATK / high bulk),Lick / Aqua Tail / Icy Wind,1,1
Little Cup — Top 50,Wooper (Shadow),—,Wooper (Shadow) #28 (score 80.3),Rank ≤ #100  (low ATK / high bulk),Mud Shot / Mud Bomb / Body Slam,1,1
Little Cup — Top 50,Turtwig (Shadow),—,Turtwig (Shadow) #29 (score 80.2),Rank ≤ #100  (low ATK / high bulk),Razor Leaf / Body Slam / Seed Bomb,1,1
